ItemID,Title,Description,Link,Cost
2,Electro Guitar,"Gray, left handed",www.target.com,230.0
3,"""Electro Guitar""","""With Extra Music""",https://www.target.com/p/women-s-janelle-dress-boots-a-new-day/-/A-85414042?preselect=85219750#lnk=sametab,3000.0
4,"""PC""","""Alienware The Chunkiest Gamebook""",,2500.0
5,"""Caramel Chocolate""",,https://www.target.com/p/skittles-38-starburst-halloween-candy-bag-fun-size-21-35oz-55ct/-/A-79712946#lnk=sametab,10.99
6,"""Love of my family""","""All the love""",,
7,"""Halloween Candy Basket""","""Pink, from Target""",https://www.target.com/p/pink-pumpkin-stackable-halloween-trick-or-treat-pail-hyde-38-eek-boutique-8482/-/A-78825582#lnk=sametab,1.0
8,"""Five Guys Burger""","""No onions, extra bacon and cheese""",,9.99
9,"""Power to rule the world""",,,
10,"""Lobster Dinner""","""Seafood fest from Red Lobster""",https://www.redlobster.com/?gclsrc=aw.ds&,36.99
11,Football,NFL original,50,www.football.com
12,Football,NFL original,50,www.football.com
13,Football,NFL original,50,www.football.com
14,Football,NFL original,50,www.football.com
15,Football,NFL original,50,www.football.com
16,Football,NFL original,50,www.football.com
17,Football,NFL original,50,www.football.com
18,Football,NFL original,www.football.com,65
19,Football,NFL original,www.football.com,65
20,Football,NFL original,www.football.com,65
21,Football,NFL original,www.football.com,65
